algo,grid,seed,episode,global_step,episode_return,episode_length,success,epsilon,mean_loss
DQN,deceptive_grid,0,155,19628,-162.0,129,1,0.778,0.295313
DQN,deceptive_grid,0,156,19664,-15.0,36,1,0.7776,0.248615
DQN,deceptive_grid,0,157,19864,-309.0,200,0,0.7753,0.253912
DQN,deceptive_grid,0,158,19906,-61.0,42,1,0.7749,0.228294
DQN,deceptive_grid,0,159,19982,-58.0,76,1,0.774,0.237964
DQN,deceptive_grid,0,160,20052,-55.0,70,1,0.7732,0.294222
DQN,deceptive_grid,0,161,20077,-7.0,25,1,0.7729,0.296962
DQN,deceptive_grid,0,162,20216,-153.0,139,1,0.7714,0.272156
DQN,deceptive_grid,0,163,20259,-25.0,43,1,0.7709,0.244573
DQN,deceptive_grid,0,164,20420,-207.0,161,1,0.7691,0.248633
DQN,deceptive_grid,0,165,20464,-35.0,44,1,0.7686,0.242097
DQN,deceptive_grid,0,166,20663,-231.0,199,1,0.7663,0.26724
DQN,deceptive_grid,0,167,20699,-23.0,36,1,0.7659,0.234538
DQN,deceptive_grid,0,168,20704,9.0,5,1,0.7658,0.258338
DQN,deceptive_grid,0,169,20794,-82.0,90,1,0.7648,0.230931
DQN,deceptive_grid,0,170,20924,-143.0,130,1,0.7634,0.226721
DQN,deceptive_grid,0,171,20984,-62.0,60,1,0.7627,0.219704
DQN,deceptive_grid,0,172,21021,-17.0,37,1,0.7623,0.276469
DQN,deceptive_grid,0,173,21036,-15.0,15,1,0.7621,0.227669
DQN,deceptive_grid,0,174,21235,-276.0,199,1,0.7598,0.22812
DQN,deceptive_grid,0,175,21247,-3.0,12,1,0.7597,0.245459
DQN,deceptive_grid,0,176,21306,-52.0,59,1,0.759,0.227345
DQN,deceptive_grid,0,177,21488,-185.0,182,1,0.757,0.200375
DQN,deceptive_grid,0,178,21566,-74.0,78,1,0.7561,0.244832
DQN,deceptive_grid,0,179,21766,-237.0,200,0,0.7538,0.207776
DQN,deceptive_grid,0,180,21819,-44.0,53,1,0.7532,0.18913
DQN,deceptive_grid,0,181,21832,-7.0,13,1,0.7531,0.201077
DQN,deceptive_grid,0,182,21869,-19.0,37,1,0.7527,0.214969
DQN,deceptive_grid,0,183,21964,-107.0,95,1,0.7516,0.182834
