algo,grid,seed,episode,global_step,episode_return,episode_length,success,epsilon,mean_loss
DQN,deceptive_grid,0,105,17097,-24.92,37,1,0.8066,0.611591
DQN,deceptive_grid,0,106,17278,-133.48,181,1,0.8046,0.610448
DQN,deceptive_grid,0,107,17440,-74.48,162,1,0.8028,0.581738
DQN,deceptive_grid,0,108,17585,-50.2,145,1,0.8011,0.602535
DQN,deceptive_grid,0,109,17632,-2.28,47,1,0.8006,0.576626
DQN,deceptive_grid,0,110,17832,-192.28,200,0,0.7983,0.55156
DQN,deceptive_grid,0,111,18012,-88.88,180,1,0.7963,0.543264
DQN,deceptive_grid,0,112,18212,-162.24,200,0,0.794,0.555756
DQN,deceptive_grid,0,113,18231,-1.36,19,1,0.7938,0.483018
DQN,deceptive_grid,0,114,18363,-95.28,132,1,0.7923,0.506116
DQN,deceptive_grid,0,115,18563,-195.84,200,0,0.7901,0.524366
DQN,deceptive_grid,0,116,18611,-38.68,48,1,0.7895,0.517636
DQN,deceptive_grid,0,117,18699,-104.28,88,1,0.7885,0.50788
DQN,deceptive_grid,0,118,18899,-80.68,200,0,0.7863,0.475671
DQN,deceptive_grid,0,119,19099,-148.28,200,0,0.784,0.502491
DQN,deceptive_grid,0,120,19299,-146.44,200,0,0.7817,0.494043
DQN,deceptive_grid,0,121,19346,10.92,47,1,0.7812,0.5028
DQN,deceptive_grid,0,122,19497,-72.2,151,1,0.7795,0.452847
DQN,deceptive_grid,0,123,19525,5.76,28,1,0.7792,0.534491
DQN,deceptive_grid,0,124,19725,-128.16,200,0,0.7769,0.484464
DQN,deceptive_grid,0,125,19925,-185.68,200,0,0.7747,0.469617
DQN,deceptive_grid,0,126,20070,-70.88,145,1,0.773,0.48009
DQN,deceptive_grid,0,127,20256,-108.48,186,1,0.7709,0.475189
DQN,deceptive_grid,0,128,20456,-100.2,200,0,0.7687,0.457897
DQN,deceptive_grid,0,129,20656,-164.8,200,0,0.7664,0.470962
DQN,deceptive_grid,0,130,20856,-99.48,200,0,0.7641,0.456418
DQN,deceptive_grid,0,131,20927,-44.8,71,1,0.7633,0.439249
DQN,deceptive_grid,0,132,21083,-121.0,156,1,0.7616,0.478561
DQN,deceptive_grid,0,133,21173,-50.64,90,1,0.7605,0.484972
DQN,deceptive_grid,0,134,21373,-137.64,200,0,0.7583,0.451958
DQN,deceptive_grid,0,135,21566,-135.88,193,1,0.7561,0.472153
DQN,deceptive_grid,0,136,21606,12.52,40,1,0.7556,0.461872
DQN,deceptive_grid,0,137,21806,-93.12,200,0,0.7534,0.453755
DQN,deceptive_grid,0,138,22006,-150.64,200,0,0.7511,0.439185
DQN,deceptive_grid,0,139,22206,-159.56,200,0,0.7489,0.456821
DQN,deceptive_grid,0,140,22406,-85.84,200,0,0.7466,0.424392
DQN,deceptive_grid,0,141,22606,-181.8,200,0,0.7443,0.439493
DQN,deceptive_grid,0,142,22806,-134.6,200,0,0.7421,0.413193
DQN,deceptive_grid,0,143,23006,-162.24,200,0,0.7398,0.404933
DQN,deceptive_grid,0,144,23030,5.6,24,1,0.7395,0.461178
DQN,deceptive_grid,0,145,23230,-148.0,200,0,0.7373,0.406278
DQN,deceptive_grid,0,146,23430,-126.44,200,0,0.735,0.390596
DQN,deceptive_grid,0,147,23630,-109.48,200,0,0.7328,0.395147
DQN,deceptive_grid,0,148,23705,-49.56,75,1,0.7319,0.39191
DQN,deceptive_grid,0,149,23905,-111.24,200,0,0.7296,0.389355
DQN,deceptive_grid,0,150,24105,-151.52,200,0,0.7274,0.391656
DQN,deceptive_grid,0,151,24305,-81.96,200,0,0.7251,0.386959
DQN,deceptive_grid,0,152,24435,-30.2,130,1,0.7237,0.388139
DQN,deceptive_grid,0,153,24635,-144.52,200,0,0.7214,0.380132
DQN,deceptive_grid,0,154,24794,-97.88,159,1,0.7196,0.355209
DQN,deceptive_grid,0,155,24994,-124.64,200,0,0.7173,0.34545
DQN,deceptive_grid,0,156,25194,-134.64,200,0,0.7151,0.382252
DQN,deceptive_grid,0,157,25394,-153.64,200,0,0.7128,0.343957
DQN,deceptive_grid,0,158,25449,-5.4,55,1,0.7122,0.372727
DQN,deceptive_grid,0,159,25649,-76.36,200,0,0.7099,0.361462
DQN,deceptive_grid,0,160,25849,-192.24,200,0,0.7077,0.323467
DQN,deceptive_grid,0,161,25920,-22.2,71,1,0.7069,0.345126
DQN,deceptive_grid,0,162,26091,-100.16,171,1,0.7049,0.337389
DQN,deceptive_grid,0,163,26291,-116.88,200,0,0.7027,0.316599
DQN,deceptive_grid,0,164,26491,-149.12,200,0,0.7004,0.296171
DQN,deceptive_grid,0,165,26691,-110.52,200,0,0.6981,0.3372
DQN,deceptive_grid,0,166,26891,-116.92,200,0,0.6959,0.288631
DQN,deceptive_grid,0,167,27091,-89.36,200,0,0.6936,0.301387
DQN,deceptive_grid,0,168,27120,-8.92,29,1,0.6933,0.31711
DQN,deceptive_grid,0,169,27320,-94.56,200,0,0.691,0.281908
DQN,deceptive_grid,0,170,27453,-42.28,133,1,0.6895,0.274881
DQN,deceptive_grid,0,171,27653,-106.0,200,0,0.6873,0.285896
DQN,deceptive_grid,0,172,27693,11.12,40,1,0.6868,0.293833
DQN,deceptive_grid,0,173,27893,-163.04,200,0,0.6845,0.266446
DQN,deceptive_grid,0,174,28093,-186.36,200,0,0.6823,0.266654
DQN,deceptive_grid,0,175,28164,-46.08,71,1,0.6815,0.263004
DQN,deceptive_grid,0,176,28270,-46.64,106,1,0.6803,0.260733
DQN,deceptive_grid,0,177,28470,-123.16,200,0,0.678,0.251682
DQN,deceptive_grid,0,178,28670,-107.12,200,0,0.6758,0.243989
DQN,deceptive_grid,0,179,28750,16.64,80,1,0.6749,0.231245
DQN,deceptive_grid,0,180,28774,32.6,24,1,0.6746,0.223278
DQN,deceptive_grid,0,181,28777,20.12,3,1,0.6745,0.233284
DQN,deceptive_grid,0,182,28842,-27.68,65,1,0.6738,0.233449
DQN,deceptive_grid,0,183,28913,-14.48,71,1,0.673,0.231969
DQN,deceptive_grid,0,184,28921,19.72,8,1,0.6729,0.227245
DQN,deceptive_grid,0,185,28931,26.56,10,1,0.6728,0.221705
DQN,deceptive_grid,0,186,29131,-88.72,200,0,0.6705,0.230334
DQN,deceptive_grid,0,187,29331,-99.16,200,0,0.6683,0.222601
